ncIdentifier,prIdentifier,interaction
n386260,Q13285,0
n387016,Q96PU8,0
n379212,Q9HCE1,0
n346535,Q9Y6M1,0
n380399,Q01844,0
n367661,Q9UL18,0
n384754,Q9HCE1,0
n372953,Q86X94,0
n380064,Q15717,0
n363337,Q9HCE1,0
n406409,Q6PJX3,0
n382511,Q49AS9,0
n345386,P26599,0
n405912,Q96PU8,0
n370618,Q6PJX3,0
n381022,Q9HCE1,0
n410153,Q01844,0
n345386,Q6PJX3,0
n369419,O00425,0
n409115,Q49AS9,0
n406488,Q8NDV7,0
n344793,O43251,0
n381280,O43251,0
n405504,O43251,0
n409707,Q9H9G7,0
n344547,Q9HCK5,0
n378100,Q9UPQ9,0
n387265,Q9UKV8,0
n379850,Q15717,0
n381623,B7ZL34,0
n345580,Q86X94,0
n344965,Q9Y6M1,0
n385729,P31483,0
n386328,Q9HCK5,0
n346238,Q86X94,0
n380714,Q9UPQ9,0
n377170,O00425,0
n405665,Q9HCE1,0
n385730,Q9HCK5,0
n385729,O43251,0
n345574,Q9HCJ0,0
n345044,Q8NDV7,0
n377236,Q6PJX3,0
n406277,Q13148,0
n385511,Q07955,0
n385822,Q9NZI8,0
n345395,Q86X94,0
n346188,Q01844,0
n345455,Q9HCK5,0
n385291,Q9NZI8,0
n407257,Q13148,0
n367775,Q49AS9,0
n346535,P26599,0
n344534,Q9UPQ9,0
n344720,O43251,0
n381789,Q9Y6M1,0
n383186,O00425,0
n363351,P31483,0
n379281,Q9Y6M1,0
n370180,Q9UPQ9,0
n344569,Q96PU8,0
n383265,P31483,0
n345006,Q9HCK5,0
n345707,Q96PU8,0
n382184,Q96PU8,0
n377932,Q96PU8,0
n346533,B7ZL34,0
n386034,Q9HCK5,0
n377799,Q13285,0
n405982,Q9UPQ9,0
n384996,Q07955,0
n344659,O43251,0
n383080,Q8NDV7,0
n345685,Q9HCK5,0
n381057,Q07955,0
n344461,O00425,0
n386682,Q9HCE1,0
n386682,O43251,0
n386539,Q86X94,0
n381846,Q9UKV8,0
n345170,P31483,0
n344885,O00425,0
n409519,Q9NZI8,0
n379129,Q9UL18,0
n386691,Q9UKV8,0
n381557,Q6PJX3,0
n409320,Q13285,0
n407573,Q86X94,0
n385468,O43251,0
n384209,Q13148,0
n374520,Q96PU8,0
n405614,Q8NDV7,0
n379107,Q01844,0
n387063,P26599,0
n345138,Q01844,0
n408354,Q13148,0
n383718,Q9HCK5,0
n386025,P26599,0
n344931,Q6PJX3,0
n345304,B7ZL34,0
n385261,Q9HCK5,0
n385729,P26599,0
n381280,B7ZL34,0
n367646,Q6PJX3,0
n384234,Q9UL18,0
n379122,Q96PU8,0
n370849,Q9H9G7,0
n408116,P31483,0
n346528,P31483,0
n346528,Q13285,0
n346528,Q96PU8,0
n346528,Q9HCJ0,0
n344741,Q13285,0
n407550,Q13148,0
n346101,O43251,0
n383076,O43251,0
n379480,Q86X94,0
n344720,B7ZL34,0
n345248,Q9Y6M1,0
n344916,Q9HCK5,0
n406336,Q9UKV8,0
n408895,Q8NDV7,0
n410042,Q9UKV8,0
n344941,P35637,0
n385519,Q9UPQ9,0
n384936,P31483,0
n384936,Q13285,0
n384936,Q49AS9,0
n384936,P26599,0
n384332,P35637,0
n382094,Q13285,0
n381323,Q6PJX3,0
n406900,Q13285,0
n381375,Q9NZI8,0
n407283,Q9UL18,0
n410722,Q9H9G7,0
n377788,Q9HCE1,0
n364139,Q9HCK5,0
n382930,P26599,0
n406134,Q8NDV7,0
n367422,P26599,0
n378063,Q96PU8,0
n381057,Q9HCJ0,0
n377660,Q86X94,0
n381200,Q86X94,0
n378782,Q6PJX3,0
n409707,Q9UKV8,0
n345457,B7ZL34,0
n345458,B7ZL34,0
n384686,B7ZL34,0
n405691,Q9Y6M1,0
n372674,P31483,0
n385822,Q9H9G7,0
n368044,Q07955,0
n405993,Q9H9G7,0
n346116,P26599,0
n344755,Q01844,0
n405487,O00425,0
n344687,O43251,0
n377214,Q9UL18,0
n381430,P26599,0
n410105,Q96PU8,0
n346533,Q6PJX3,0
n381846,Q96PU8,0
n367887,Q49AS9,0
n346041,Q9HCJ0,0
n384858,Q9H9G7,0
n378478,Q15717,0
n345647,Q9HCE1,0
n408241,Q13285,0
n344530,Q07955,0
n383634,Q13285,0
n385130,Q01844,0
n384605,Q9HCK5,0
n386492,Q07955,0
n375526,Q49AS9,0
n410191,Q9HCK5,0
n379841,Q6PJX3,0
n381979,Q6PJX3,0
n366714,Q6PJX3,0
n345574,Q9H9G7,0
n382553,Q9HCK5,0
n383747,Q8NDV7,0
n385667,Q13148,0
n385059,O43251,0
n382502,O43251,0
n344996,Q13285,0
n344996,Q9HCE1,0
n344996,Q8NDV7,0
n344996,Q96PU8,0
n384655,Q9UPQ9,0
n344745,Q9HCE1,0
n383556,Q8NDV7,0
n345670,Q9HCK5,0
n386110,Q96PU8,0
n382927,Q96PU8,0
n377707,O00425,0
n368447,Q13148,0
n407163,Q49AS9,0
n408071,O43251,0
n345781,Q13148,0
n410161,Q9NZI8,0
n344748,Q13285,0
n344748,Q01844,0
n344748,O43251,0
n344748,Q8NDV7,0
n407749,Q9Y6M1,0
n344778,Q6PJX3,0
n407887,Q96PU8,0
n378714,Q9NZI8,0
n386231,B7ZL34,0
n344656,Q6PJX3,0
n374660,Q9UPQ9,0
n384936,Q9UPQ9,0
n407721,Q9HCK5,0
n409084,Q13148,0
n381409,Q07955,0
n385240,Q13148,0
n344627,P26599,0
n381509,Q9HCJ0,0
n385210,Q9Y6M1,0
n346186,P35637,0
n406480,P35637,0
n384720,Q07955,0
n379718,Q9HCE1,0
n405569,Q9UPQ9,0
n384936,Q8NDV7,0
n382094,Q8NDV7,0
n410671,O00425,0
n344741,Q6PJX3,0
n344530,P35637,0
n344871,Q9HCK5,0
n381430,O00425,0
n382015,Q96PU8,0
n386332,P35637,0
n369769,O43251,0
n383236,Q13148,0
n381344,P31483,0
n407249,O43251,0
n386025,O43251,0
n346535,P31483,0
n407311,Q9UPQ9,0
n379340,Q01844,0
n406145,O00425,0
n375683,Q9UL18,0
n385947,Q07955,0
n346545,Q9UPQ9,0
n385512,Q96PU8,0
n410638,Q9HCJ0,0
n365737,Q9HCK5,0
n344678,Q9UKV8,0
n345934,Q07955,0
n345449,P26599,0
n345449,Q9HCE1,0
n345449,Q13148,0
n344659,Q96PU8,0
n344814,Q9UPQ9,0
n409143,P26599,0
n382233,Q86X94,0
n386025,Q9UPQ9,0
n383218,Q9H9G7,0
n386538,Q8NDV7,0
n386538,Q49AS9,0
n386538,Q96PU8,0
n386538,Q9Y6M1,0
n385185,Q6PJX3,0
n408220,P31483,0
n382286,Q13148,0
n378094,O43251,0
n382094,Q07955,0
n374538,Q15717,0
n405912,Q9HCE1,0
n384624,Q8NDV7,0
n384624,P35637,0
n384624,Q6PJX3,0
n384624,Q9NZI8,0
n405399,Q01844,0
n344574,Q9HCE1,0
n344748,Q13148,0
n381623,Q96PU8,0
n385370,Q9HCK5,0
n411142,Q01844,0
n411680,Q01844,0
n407071,Q9UPQ9,0
n344808,B7ZL34,0
n345473,Q49AS9,0
n386448,Q9UL18,0
n385725,O43251,0
n406931,Q9NZI8,0
n384215,Q9NZI8,0
n374530,Q9HCK5,0
n367989,Q86X94,0
n385519,Q49AS9,0
n376203,Q9UPQ9,0
n376203,O43251,0
n376203,Q13285,0
n376203,Q96PU8,0
n384996,Q6PJX3,0
n382698,Q9UL18,0
n344748,P26599,0
n386025,Q9HCK5,0
n365664,Q9NZI8,0
n381184,Q6PJX3,0
n384270,Q9UPQ9,0
n344814,O43251,0
n407887,Q86X94,0
n345800,Q9HCJ0,0
n376275,P35637,0
n382059,Q9UKV8,0
n365323,Q13148,0
n363651,Q07955,0
n344741,Q9HCE1,0
n382094,Q96PU8,0
n345059,B7ZL34,0
n346398,Q9H9G7,0
n377771,Q07955,0
n408302,Q9HCK5,0
n346464,Q9UPQ9,0
n344775,B7ZL34,0
n381720,Q9HCE1,0
n346329,Q9Y6M1,0
n381430,B7ZL34,0
n384228,Q9HCE1,0
n381057,Q96PU8,0
n376985,Q9UPQ9,0
n407922,Q9HCK5,0
n406883,O43251,0
n381846,Q07955,0
n377642,O43251,0
n387602,P31483,0
n381773,Q9HCJ0,0
n381773,Q96PU8,0
n381773,Q9HCE1,0
n381773,Q49AS9,0
n386735,Q9Y6M1,0
n407550,Q9HCK5,0
n345630,Q9H9G7,0
n379114,Q9UKV8,0
n345421,O43251,0
n384073,Q9UKV8,0
n381846,Q9H9G7,0
n368106,Q9HCE1,0
n344517,Q07955,0
n384480,Q13285,0
n384480,Q6PJX3,0
n384480,Q07955,0
n384480,P26599,0
n409172,B7ZL34,0
n406296,Q13285,0
n381521,Q86X94,0
n346404,Q9UKV8,0
n387060,O43251,0
n344659,Q6PJX3,0
n383230,Q9UKV8,0
n386735,O43251,0
n384210,P26599,0
n384770,P26599,0
n370205,O00425,0
n344574,Q9HCJ0,0
n370618,Q96PU8,0
n344540,Q9UL18,0
n378866,Q13148,0
n382037,Q9HCE1,0
n406480,O43251,0
n383209,Q9HCE1,0
n344658,P26599,0
n381216,Q13285,0
n406866,B7ZL34,0
n346227,Q9NZI8,0
n379350,B7ZL34,0
n345322,P26599,0
n345777,Q9HCE1,0
n384703,Q13148,0
n373886,O43251,0
n370452,Q9NZI8,0
n381557,P26599,0
n381557,Q96PU8,0
n381557,Q9UL18,0
n346167,Q96PU8,0
n379692,Q9NZI8,0
n345433,P35637,0
n381184,O43251,0
n385229,P35637,0
n379340,Q96PU8,0
n382975,Q9HCE1,0
n377672,Q9H9G7,0
n377932,O00425,0
n406154,Q9H9G7,0
n363933,O43251,0
n385245,Q9Y6M1,0
n381351,O43251,0
n378107,Q8NDV7,0
n386976,Q07955,0
n344778,Q13285,0
n410487,Q07955,0
n345934,O43251,0
n385123,Q9UKV8,0
n346464,Q13148,0
n380148,Q13285,0
n411679,B7ZL34,0
n384227,P26599,0
n384227,Q07955,0
n384227,Q13285,0
n363765,Q9H9G7,0
n385727,Q6PJX3,0
n383730,Q15717,0
n377300,Q9HCE1,0
n381846,Q8NDV7,0
n344808,P35637,0
n384202,Q49AS9,0
n378880,Q9Y6M1,0
n385185,Q96PU8,0
n405705,Q9HCJ0,0
n384936,Q9HCJ0,0
n364975,Q9UL18,0
n371301,Q01844,0
n377818,Q9UKV8,0
n381623,Q9H9G7,0
n345934,Q9NZI8,0
n363765,Q49AS9,0
n377859,Q07955,0
n381011,Q8NDV7,0
n345405,Q9Y6M1,0
n387393,Q9HCJ0,0
n386735,Q9NZI8,0
n410457,Q8NDV7,0
n382643,Q86X94,0
n345666,Q07955,0
n377932,Q13285,0
n344748,Q9HCJ0,0
n379406,Q9HCE1,0
n344960,Q96PU8,0
n383233,O43251,0
n344709,B7ZL34,0
n382077,Q9UL18,0
n386682,Q6PJX3,0
n378252,P26599,0
n345070,Q86X94,0
n379043,O00425,0
n410063,Q13285,0
n410105,B7ZL34,0
n377799,B7ZL34,0
n385130,Q86X94,0
n371342,Q9HCK5,0
n345277,Q13285,0
n345277,B7ZL34,0
n345277,Q07955,0
n345277,P31483,0
n382474,Q6PJX3,0
n385229,B7ZL34,0
n371301,Q8NDV7,0
n386532,Q15717,0
n385725,Q6PJX3,0
n407447,P31483,0
n385425,Q13285,0
n387722,B7ZL34,0
n407588,P31483,0
n382511,Q07955,0
n344778,Q07955,0
n387210,O00425,0
n344490,Q13285,0
n344775,Q9H9G7,0
n383236,P35637,0
n383033,Q9UKV8,0
n407413,Q9UL18,0
n346545,Q96PU8,0
n405460,Q13285,0
n385145,O43251,0
n346430,Q9UPQ9,0
n407071,B7ZL34,0
n407346,O00425,0
n346200,Q6PJX3,0
n344720,Q9H9G7,0
n377769,Q07955,0
n376189,Q8NDV7,0
n344547,P26599,0
n344758,Q9UPQ9,0
n345751,Q9Y6M1,0
n345653,O43251,0
n406992,Q86X94,0
n345405,Q9HCJ0,0
n385425,Q9HCJ0,0
n405569,Q9UL18,0
n345934,B7ZL34,0
n345138,Q9Y6M1,0
n407073,Q9UL18,0
n385468,B7ZL34,0
n344604,Q9HCK5,0
n364570,P35637,0
n379574,Q13148,0
n369093,Q96PU8,0
n345385,Q86X94,0
n381773,P26599,0
n345255,P31483,0
n384625,O43251,0
n365664,Q9Y6M1,0
n410066,Q96PU8,0
n385667,Q07955,0
n345105,Q13285,0
n345424,Q9UPQ9,0
n406872,Q49AS9,0
n406872,Q86X94,0
n406872,Q6PJX3,0
n406872,P26599,0
n380108,Q9UKV8,0
n406480,Q86X94,0
n345385,Q13285,0
n384964,Q9UL18,0
n346398,Q01844,0
n383862,Q9UL18,0
n368044,B7ZL34,0
n409683,Q9H9G7,0
n377834,Q9Y6M1,0
n387719,Q9NZI8,0
n377137,Q9HCE1,0
n346537,Q96PU8,0
n379095,O00425,0
n372019,Q13148,0
n379950,Q9NZI8,0
n379972,Q9UL18,0
n344778,Q96PU8,0
n345040,Q49AS9,0
n380060,Q49AS9,0
n345685,B7ZL34,0
n372815,B7ZL34,0
n370574,O43251,0
n407851,O43251,0
n363933,Q6PJX3,0
n405504,Q9HCK5,0
n381272,Q9H9G7,0
n382511,Q8NDV7,0
n346376,Q13148,0
n383038,Q9HCE1,0
n384770,Q07955,0
n384770,Q6PJX3,0
n384770,Q96PU8,0
n384770,O43251,0
n382502,Q9H9G7,0
n407073,Q9HCJ0,0
n369997,Q13285,0
n364544,Q96PU8,0
n379342,Q01844,0
n344457,Q13285,0
n344457,O43251,0
n344457,Q86X94,0
n344457,Q9UPQ9,0
n345618,Q01844,0
n387393,P31483,0
n385787,Q13148,0
n407412,Q9HCK5,0
n345568,Q9Y6M1,0
n344778,O43251,0
n344653,Q15717,0
n372462,Q86X94,0
n382094,P31483,0
n381351,Q49AS9,0
n344748,Q6PJX3,0
n374061,Q8NDV7,0
n345046,Q07955,0
n364760,Q9Y6M1,0
n372944,Q9Y6M1,0
n345474,Q6PJX3,0
n344693,Q49AS9,0
n376189,Q96PU8,0
n385245,Q13285,0
n407311,B7ZL34,0
n346356,Q86X94,0
n345260,Q9UKV8,0
n406192,P35637,0
n345653,Q8NDV7,0
n384480,O43251,0
n410153,Q9UL18,0
n369879,Q6PJX3,0
n406144,O43251,0
n373787,Q13285,0
n407761,O43251,0
n385425,Q9HCE1,0
n406225,Q9H9G7,0
n411680,Q86X94,0
n387706,Q9H9G7,0
n377981,Q9UKV8,0
n411142,P31483,0
n385729,Q9HCE1,0
n377310,Q13148,0
n344771,B7ZL34,0
n344604,Q13285,0
n380806,Q01844,0
n368398,B7ZL34,0
n345622,Q13148,0
n379466,Q01844,0
n407513,O43251,0
n386343,Q9UL18,0
n344960,Q07955,0
n384927,Q86X94,0
n344775,O43251,0
n405416,O00425,0
n383175,Q9Y6M1,0
n381912,Q9UPQ9,0
n381878,Q8NDV7,0
n381878,Q13285,0
n381878,Q15717,0
n381878,P35637,0
n386641,Q9HCJ0,0
n383327,Q9H9G7,0
n369453,P26599,0
n364088,Q6PJX3,0
n344699,Q9Y6M1,0
n411720,Q8NDV7,0
n376473,Q9NZI8,0
n381078,Q01844,0
n372524,Q9UL18,0
n344894,Q9UKV8,0
n346094,Q13285,0
n377639,O43251,0
n382276,Q49AS9,0
n386977,Q9Y6M1,0
n345807,Q13285,0
n386178,O43251,0
n409683,Q9UPQ9,0
n364686,P31483,0
n344703,Q9UPQ9,0
n405484,Q8NDV7,0
n411727,Q6PJX3,0
n405417,P31483,0
n407257,Q13285,0
n344745,Q9HCK5,0
n344461,Q9NZI8,0
n375715,B7ZL34,0
n386682,Q9UKV8,0
n384946,Q13285,0
n374530,Q9UL18,0
n345297,Q9HCE1,0
n407520,Q86X94,0
n376203,Q01844,0
n410457,Q9H9G7,0
n385729,Q13148,0
n381022,Q6PJX3,0
n378726,Q86X94,0
n381616,Q13148,0
n383209,O00425,0
n385039,Q13285,0
n407729,Q13285,0
n345458,Q13148,0
n382231,Q13148,0
n373790,Q13148,0
n381585,Q8NDV7,0
n385531,Q13148,0
n346361,Q07955,0
n407887,Q01844,0
n377837,Q13285,0
n385679,Q9HCK5,0
n378125,P31483,0
n345386,O43251,0
n345781,Q9UPQ9,0
n383025,Q9HCK5,0
n346523,Q6PJX3,0
n378252,Q01844,0
n378353,O43251,0
n385511,Q9HCJ0,0
n344678,Q8NDV7,0
n378068,Q13148,0
n377986,Q9HCE1,0
n386209,Q07955,0
n408116,Q6PJX3,0
n345232,Q01844,0
n379454,Q07955,0
n344628,Q9NZI8,0
n387306,Q9HCK5,0
n406409,B7ZL34,0
n386682,Q9UL18,0
n345670,B7ZL34,0
n377799,O43251,0
n344659,P26599,0
n383862,O43251,0
n387017,Q13148,0
n409683,P31483,0
n406866,Q9HCJ0,0
n378068,P26599,0
n382149,Q13285,0
n381078,Q9UL18,0
n383236,O00425,0
n385425,O43251,0
n344996,Q13148,0
n379107,Q6PJX3,0
n405620,Q9H9G7,0
n380796,Q01844,0
n378247,Q9Y6M1,0
n411142,B7ZL34,0
n387112,Q9Y6M1,0
n405985,Q9HCE1,0
n345613,Q9H9G7,0
n385272,Q9HCJ0,0
n344691,Q07955,0
n345175,Q07955,0
n382982,Q01844,0
n406449,Q01844,0
n367375,B7ZL34,0
n386976,Q01844,0
n379426,Q9H9G7,0
n407565,Q9HCK5,0
n387531,P31483,0
n346497,P35637,0
n376366,Q96PU8,0
n345161,P26599,0
n376473,Q9HCK5,0
n405477,Q9UPQ9,0
n344500,Q49AS9,0
n385119,Q13285,0
n344768,Q49AS9,0
n381351,Q13148,0
n386627,O00425,0
n387393,Q01844,0
n385638,Q9NZI8,0
n385638,Q01844,0
n385638,Q9Y6M1,0
n385638,P26599,0
n372205,P35637,0
n383218,Q49AS9,0
n371524,P26599,0
n364085,Q9HCJ0,0
n384348,Q9NZI8,0
n385106,Q13285,0
n382918,O43251,0
n407163,P26599,0
n344814,Q07955,0
n406480,Q13285,0
n382094,Q6PJX3,0
n408051,Q9HCK5,0
n345527,Q86X94,0
n345670,P31483,0
n366396,Q96PU8,0
n386260,Q15717,0
n346012,Q9HCJ0,0
n384393,Q9UL18,0
n385729,Q13285,0
n409519,Q13285,0
n379378,Q6PJX3,0
n385318,Q86X94,0
n381184,Q9UKV8,0
n406444,P26599,0
n384770,Q13285,0
n386029,O43251,0
n387748,O00425,0
n380163,Q13285,0
n376473,Q96PU8,0
n345091,P31483,0
n346551,Q13148,0
n346551,Q6PJX3,0
n346551,Q9UKV8,0
n372674,Q9UL18,0
n372674,Q86X94,0
n372674,Q13285,0
n344745,Q9H9G7,0
n345222,Q9UPQ9,0
n344569,Q15717,0
n344691,Q8NDV7,0
n367640,P31483,0
n385240,O43251,0
n385829,Q13285,0
n344940,P26599,0
n379972,Q13148,0
n345800,Q6PJX3,0
n344490,Q9UL18,0
n377717,Q01844,0
n405504,Q9HCJ0,0
n386588,Q9H9G7,0
n386025,Q86X94,0
n379466,Q49AS9,0
n381216,Q86X94,0
n385481,Q6PJX3,0
n381878,P26599,0
n382060,Q9HCK5,0
n409540,Q86X94,0
n377766,Q01844,0
n381231,P31483,0
n407073,P26599,0
n383184,Q9HCK5,0
n385468,Q07955,0
n344871,Q13148,0
n386154,P26599,0
n387192,Q49AS9,0
n344778,O43251,0
n407434,Q8NDV7,0
n378866,Q9H9G7,0
n380693,Q9HCK5,0
n381899,P26599,0
n384480,Q13148,0
n346032,Q8NDV7,0
n384625,Q6PJX3,0
n385951,O43251,0
n372674,Q01844,0
n378912,Q9HCJ0,0
n346082,Q96PU8,0
n375459,P35637,0
n373241,Q9Y6M1,0
n385729,Q07955,0
n376991,O43251,0
n345557,P26599,0
n346467,P26599,0
n387060,Q9HCE1,0
n386524,Q13148,0
n383693,Q9UPQ9,0
n407434,Q9Y6M1,0
n345421,O00425,0
n345637,Q15717,0
n382511,O43251,0
n387397,Q9UPQ9,0
n345222,Q86X94,0
n345385,Q13148,0
n344677,Q9UKV8,0
n372614,Q8NDV7,0
n410076,Q01844,0
n363484,O43251,0
n385758,Q49AS9,0
n379581,O43251,0
n345395,O43251,0
n380489,O43251,0
n376420,Q9H9G7,0
n344995,Q9H9G7,0
n344724,Q9UPQ9,0
n384754,P26599,0
n410143,Q96PU8,0
n381568,O43251,0
n386539,Q8NDV7,0
n385310,Q9HCE1,0
n346528,Q6PJX3,0
n344705,O43251,0
n408016,Q01844,0
n376433,Q13285,0
n410038,P31483,0
n384422,P35637,0
n406605,Q9H9G7,0
n346126,Q6PJX3,0
n385685,Q13285,0
n385725,Q07955,0
n410188,Q07955,0
n407050,Q86X94,0
n381941,Q07955,0
n373805,Q9HCE1,0
n368267,O43251,0
n383773,Q13148,0
n409250,Q9HCK5,0
n380693,B7ZL34,0
n344659,Q07955,0
n382930,Q9Y6M1,0
n406422,Q9UL18,0
n380909,B7ZL34,0
n382330,O00425,0
n383236,Q9HCJ0,0
n383236,Q9NZI8,0
n383236,Q8NDV7,0
n383236,O43251,0
n345685,Q9HCJ0,0
n363933,B7ZL34,0
n406336,Q01844,0
n409406,Q07955,0
n345437,Q9HCJ0,0
n346247,O43251,0
n380263,Q9HCK5,0
n345941,Q9HCJ0,0
n381272,Q49AS9,0
n375745,Q9UPQ9,0
n371912,Q9HCK5,0
n383556,B7ZL34,0
n375747,Q9HCK5,0
n369876,Q9UPQ9,0
n379442,Q86X94,0
n408354,P26599,0
n346528,O43251,0
n345457,Q9H9G7,0
n386025,Q9HCJ0,0
n407211,P35637,0
n382989,Q9HCJ0,0
n407400,Q9NZI8,0
n365664,Q9UL18,0
n344755,Q9UKV8,0
n344748,Q9UPQ9,0
n386815,Q49AS9,0
n345222,Q8NDV7,0
n381846,Q9UL18,0
n377015,Q9UL18,0
n344793,Q07955,0
n344656,Q9UL18,0
n381011,O43251,0
n383025,Q13285,0
n381580,Q9HCE1,0
n406931,O43251,0
n385261,Q9Y6M1,0
n346200,Q86X94,0
n383906,Q9NZI8,0
n381351,Q07955,0
n381344,Q49AS9,0
n406201,Q9UKV8,0
n386976,Q9HCJ0,0
n381011,P26599,0
n409672,Q96PU8,0
n381409,Q6PJX3,0
n410105,Q9UKV8,0
n376381,Q9UKV8,0
n376248,Q9UL18,0
n372987,Q8NDV7,0
n346288,O00425,0
n346492,Q9UPQ9,0
n406566,P35637,0
n344745,Q9UL18,0
n379336,Q6PJX3,0
n376189,Q6PJX3,0
n375021,Q6PJX3,0
n407534,Q13148,0
n346040,P35637,0
n385951,Q07955,0
n345574,P31483,0
n345310,Q86X94,0
n410565,P35637,0
n410249,Q13285,0
n345139,Q86X94,0
n346101,Q07955,0
n387063,Q9HCJ0,0
n344778,B7ZL34,0
n410005,Q96PU8,0
n345544,Q9HCE1,0
n385725,Q13285,0
n385725,P26599,0
n385725,Q49AS9,0
n377740,Q49AS9,0
n382094,Q86X94,0
n406201,B7ZL34,0
n363309,Q07955,0
n385688,Q9Y6M1,0
n344547,Q8NDV7,0
n385145,Q9Y6M1,0
n344814,Q9HCJ0,0
n346551,O00425,0
n383234,O43251,0
n409707,Q9UPQ9,0
n407721,B7ZL34,0
n345175,Q9Y6M1,0
n382131,Q13148,0
n384227,O43251,0
n345288,Q9HCJ0,0
n344872,O00425,0
n346200,Q13285,0
n385370,Q6PJX3,0
n345246,Q9NZI8,0
n409674,Q8NDV7,0
n344610,P31483,0
n383019,Q13148,0
n386682,Q9H9G7,0
n344995,Q9HCK5,0
n382220,O00425,0
n410249,Q49AS9,0
n344658,O43251,0
n345653,Q9HCJ0,0
n406274,Q9UPQ9,0
n345670,Q9UPQ9,0
n344659,Q13148,0
n387393,Q9HCK5,0
n377982,Q9UL18,0
n385468,Q8NDV7,0
n346398,Q13148,0
n406914,P35637,0
n372935,Q8NDV7,0
n366279,Q07955,0
n406444,Q9HCK5,0
n379114,Q9UL18,0
n383693,Q49AS9,0
n409180,P26599,0
n345417,Q8NDV7,0
n377664,P26599,0
n385727,O43251,0
n377834,P35637,0
n375477,Q13285,0
n345222,Q6PJX3,0
n363878,P35637,0
n406201,P35637,0
n384624,Q13285,0
n364206,P31483,0
n344871,Q9UL18,0
n375746,Q96PU8,0
n371684,Q9Y6M1,0
n346128,Q9H9G7,0
n344496,P26599,0
n345182,Q9HCE1,0
n375209,Q9HCE1,0
n405893,Q9UL18,0
n407851,Q9UPQ9,0
n383231,Q9UL18,0
n408353,Q96PU8,0
n387060,Q9HCJ0,0
n387060,Q13148,0
n387060,Q86X94,0
n387060,Q01844,0
n407441,P26599,0
n345975,Q9UL18,0
n345170,B7ZL34,0
n344778,Q9NZI8,0
n408119,Q13285,0
n344992,Q9H9G7,0
n377827,Q13285,0
n384770,Q07955,0
n386209,Q9HCK5,0
n379927,Q01844,0
n371910,Q9HCE1,0
n373685,Q9UPQ9,0
n344909,Q9Y6M1,0
n345281,Q96PU8,0
n381942,Q9UKV8,0
n363484,Q6PJX3,0
n384700,P26599,0
n411578,Q8NDV7,0
n346523,Q9UL18,0
n406442,Q49AS9,0
n381409,O43251,0
n385185,Q13148,0
n370126,Q49AS9,0
n376384,Q07955,0
n376985,Q9Y6M1,0
n379132,Q13285,0
n344659,Q13285,0
n386231,Q6PJX3,0
n376203,P35637,0
n381430,Q9HCE1,0
n344559,Q01844,0
n345685,Q96PU8,0
n383862,P35637,0
n385106,Q9UPQ9,0
n386343,Q9HCJ0,0
n383190,P35637,0
n345059,Q49AS9,0
n344778,Q8NDV7,0
n407434,O43251,0
n344540,Q07955,0
n344679,P26599,0
n383179,Q9HCK5,0
n385039,Q9HCK5,0
n409684,Q9H9G7,0
n384210,Q9NZI8,0
n409406,Q9HCK5,0
n371301,P31483,0
n384754,Q9UPQ9,0
n346422,Q15717,0
n385202,Q07955,0
n344799,Q9Y6M1,0
n385106,Q9HCE1,0
n346033,O00425,0
n378252,Q13148,0
n344775,Q9UPQ9,0
n368627,P26599,0
n383186,Q9HCJ0,0
n384720,Q9UKV8,0
n381417,Q9UPQ9,0
n345175,Q9UPQ9,0
n405607,Q13285,0
n385775,Q9HCK5,0
n367848,Q9UKV8,0
n377416,Q9NZI8,0
n373804,Q9H9G7,0
n408051,Q96PU8,0
n377834,Q96PU8,0
n377834,Q13148,0
n377834,Q07955,0
n406336,Q9H9G7,0
n379436,Q86X94,0
n368106,Q9H9G7,0
n381557,Q49AS9,0
n384996,Q8NDV7,0
n410638,Q13148,0
n377873,Q8NDV7,0
n378567,Q9UL18,0
n407211,Q86X94,0
n345226,Q01844,0
n385951,Q9UPQ9,0
n345653,Q13148,0
n405438,Q13148,0
n405438,Q01844,0
n405438,Q07955,0
n405438,Q9HCE1,0
n345694,P26599,0
n387397,Q8NDV7,0
n345458,Q9UPQ9,0
n344601,B7ZL34,0
n381878,Q9HCJ0,0
n383693,O43251,0
n345887,B7ZL34,0
n405639,P26599,0
n386328,Q9H9G7,0
n346337,Q6PJX3,0
n344808,Q01844,0
n377932,B7ZL34,0
n407434,Q6PJX3,0
n385106,Q9H9G7,0
n407071,Q86X94,0
n345777,Q13148,0
n385223,Q9UL18,0
n371670,Q9H9G7,0
n386025,Q9H9G7,0
n406416,Q13285,0
n364340,P26599,0
n385511,Q8NDV7,0
n377670,Q9UPQ9,0
n383172,Q6PJX3,0
n344736,P35637,0
n344745,O43251,0
n385780,Q9HCE1,0
n383932,O00425,0
n377827,B7ZL34,0
n345437,Q9UPQ9,0
n379616,Q9HCJ0,0
n381846,P35637,0
n346521,Q8NDV7,0
n377639,Q13148,0
n369699,Q9HCE1,0
n387397,Q96PU8,0
n405884,O00425,0
n368098,Q49AS9,0
n344924,Q9NZI8,0
n387719,Q49AS9,0
n410904,O00425,0
n363484,Q9HCE1,0
n385511,O43251,0
n385511,Q9UPQ9,0
n385511,P26599,0
n385511,Q6PJX3,0
